algorithm,cod,ncd,infectious,parasitic,zambia_notifiable_disease,respiratory,maternal,neonatal,external,cancer
Interva5,Not pregnant or recently delivered,,,,,,1,,,
Interva5,Pregnancy ended within 6 weeks of death,,,,,,1,,,
Interva5,Pregnant at death,,,,,,1,,,
Interva5,Sepsis (non-obstetric),,,,,,,,,
Interva5,Acute resp infect incl pneumonia,,,,,1,,1,,
Interva5,HIV/AIDS related death,,1,,,,,,,
Interva5,Diarrhoeal diseases,,1,1,,,,1,,
Interva5,Malaria,,1,1,,,,1,,
Interva5,Measles,,1,,1,,,1,,
Interva5,Meningitis and encephalitis,,1,,,,,,,
Interva5,Tetanus,,1,,1,,,1,,
Interva5,Pulmonary tuberculosis,,1,,1,1,,1,,
Interva5,Pertussis,,1,,,1,,,,
Interva5,Haemorrhagic fever (non-dengue),,1,,,,,1,,
Interva5,Dengue fever,,1,1,,,,1,,
Interva5,Other and unspecified infect dis,,1,,,,,1,,
Interva5,Oral neoplasms,1,,,,,,,,1
Interva5,Digestive neoplasms,1,,,,,,,,1
Interva5,Respiratory neoplasms,1,,,,,,,,1
Interva5,Breast neoplasms,1,,,,,,,,1
Interva5,Reproductive neoplasms MF,1,,,,,,,,1
Interva5,Other and unspecified neoplasms,1,,,,,,,,1
Interva5,Severe anaemia,1,,,,,,1,,
Interva5,Severe malnutrition,1,,,,,,1,,
Interva5,Diabetes mellitus,1,,,,,,1,,
Interva5,Acute cardiac disease,1,,,,,,1,,
Interva5,Stroke,1,,,,,,,,
Interva5,Sickle cell with crisis,1,,,,,,,,
Interva5,Other and unspecified cardiac dis,1,,,,,,,,
Interva5,Chronic obstructive pulmonary dis,,,,,,,,,
Interva5,Asthma,,,,,1,,1,,
Interva5,Acute abdomen,1,,,,,,,,
Interva5,Liver cirrhosis,1,,,,,,,,
Interva5,Renal failure,1,,,,,,,,
Interva5,Epilepsy,1,,,,,,,,
Interva5,Ectopic pregnancy,,,,,,1,,,
Interva5,Abortion-related death,,,,,,1,,,
Interva5,Pregnancy-induced hypertension,,,,,,1,,,
Interva5,Obstetric haemorrhage,,,,,,1,,,
Interva5,Obstructed labour,,,,,,1,,,
Interva5,Pregnancy-related sepsis,,,,,,1,,,
Interva5,Anaemia of pregnancy,,,,,,1,,,
Interva5,Ruptured uterus,,,,,,1,,,
Interva5,Other and unspecified maternal CoD,,,,,,1,,,
Interva5,Prematurity,,,,,,,1,,
Interva5,Birth asphyxia,,,,,,,1,,
Interva5,Neonatal pneumonia,,,,,,,1,,
Interva5,Neonatal sepsis,,,,,,,1,,
Interva5,Congenital malformation,,,,,,,1,,
Interva5,Other and unspecified neonatal CoD,,,,,,,1,,
Interva5,Fresh stillbirth,,,,,,,1,,
Interva5,Macerated stillbirth,,,,,,,1,,
Interva5,Road traffic accident,,,,,,,,1,
Interva5,Other transport accident,,,,,,,,1,
Interva5,Accid fall,,,,,,,,1,
Interva5,Accid drowning and submersion,,,,,,,,1,
Interva5,Accid expos to smoke fire & flame,,,,,,,,1,
Interva5,Contact with venomous plant/animal,,,,,,,,1,
Interva5,Accid poisoning & noxious subs,,,,,,,,1,
Interva5,Intentional self-harm,,,,,,,,1,
Interva5,Assault,,,,,,,,1,
Interva5,Exposure to force of nature,,,,,,,,1,
Interva5,Other and unspecified external CoD,,,,,,,,1,
Interva5,Other and unspecified NCD,1,,,,,,,,
