Name,Type,Parent
Central Province,province,
Chibombo District,district,Central Province
Chisamba District,district,Central Province
Chitambo District,district,Central Province
Itezhi-Tezhi District,district,Central Province
Kabwe District,district,Central Province
Kapiri Mposhi District,district,Central Province
Luano District,district,Central Province
Mkushi District,district,Central Province
Mumbwa District,district,Central Province
Ngabwe District,district,Central Province
Serenje District,district,Central Province
Shibuyunji District,district,Central Province
Copperbelt Province,province,
Chililabombwe District,district,Copperbelt Province
Chingola District,district,Copperbelt Province
Kalulushi District,district,Copperbelt Province
Kitwe District,district,Copperbelt Province
Luanshya District,district,Copperbelt Province
Lufwanyama District,district,Copperbelt Province
Masaiti District,district,Copperbelt Province
Mpongwe District,district,Copperbelt Province
Mufulira District,district,Copperbelt Province
Ndola District,district,Copperbelt Province
Eastern Province,province,
Chadiza District,district,Eastern Province
Chasefu District,district,Eastern Province
Chipangali District,district,Eastern Province
Chipata District,district,Eastern Province
Kasenengwa District,district,Eastern Province
Katete District,district,Eastern Province
Lumezi District,district,Eastern Province
Lundazi District,district,Eastern Province
Mambwe District,district,Eastern Province
Lusangazi District,district,Eastern Province
Nyimba District,district,Eastern Province
Petauke District,district,Eastern Province
Sinda District,district,Eastern Province
Vubwi District,district,Eastern Province
Luapula Province,province,
Chembe District,district,Luapula Province
Chiengi District,district,Luapula Province
Chifunabuli District,district,Luapula Province
Chipili District,district,Luapula Province
Kawambwa District,district,Luapula Province
Lunga District,district,Luapula Province
Mansa District,district,Luapula Province
Milenge District,district,Luapula Province
Mwansabombwe District,district,Luapula Province
Mwense District,district,Luapula Province
Nchelenge District,district,Luapula Province
Samfya District,district,Luapula Province
Lusaka Province,province,
Chilanga District,district,Lusaka Province
Chirundu District,district,Lusaka Province
Chongwe District,district,Lusaka Province
Kafue District,district,Lusaka Province
Luangwa District,district,Lusaka Province
Lusaka District,district,Lusaka Province
Rufunsa District,district,Lusaka Province
Muchinga Province,province,
Chama District,district,Muchinga Province
Chinsali District,district,Muchinga Province
Chilinda District,district,Muchinga Province
